iter	Passed	Remaining
0	0	449
1	0	407
2	1	397
3	1	405
4	1	396
5	2	398
6	2	398
7	3	395
8	3	389
9	3	389
10	4	392
11	4	396
12	5	393
13	5	412
14	6	435
15	7	433
16	7	445
17	8	471
18	9	471
19	9	470
20	10	467
21	10	464
22	10	459
23	11	454
24	11	452
25	11	448
26	12	445
27	12	441
28	13	439
29	13	435
30	13	432
31	14	429
32	14	428
33	15	427
34	15	423
35	15	422
36	16	420
37	16	418
38	16	416
39	17	415
40	17	414
41	18	412
42	18	411
43	18	410
44	19	408
45	19	407
46	20	413
47	20	414
48	22	428
49	23	443
50	23	446
51	24	447
52	25	447
53	25	450
54	26	447
55	26	447
56	26	444
57	27	441
58	27	440
59	27	438
60	28	436
61	28	434
62	29	434
63	29	433
64	30	432
65	30	433
66	30	431
67	31	429
68	31	428
69	32	427
70	32	425
71	32	424
72	33	423
73	33	421
74	34	420
75	34	418
76	34	418
77	35	418
78	35	416
79	36	414
80	36	416
81	37	418
82	37	415
83	38	417
84	38	417
85	39	415
86	39	414
87	39	413
88	42	431
89	42	431
90	43	430
91	43	429
92	44	429
93	44	429
94	44	427
95	45	427
96	45	426
97	46	425
98	46	423
99	46	422
100	47	421
101	47	420
102	48	419
103	48	418
104	48	417
105	49	416
106	49	415
107	50	415
108	50	414
109	51	414
110	51	413
111	52	412
112	52	411
113	53	414
114	54	416
115	54	416
116	55	415
117	55	414
118	55	413
119	56	412
120	56	411
121	56	410
122	57	408
123	57	408
124	58	407
125	58	406
126	58	404
127	59	403
128	59	402
129	60	402
130	60	401
131	60	400
132	61	399
133	61	398
134	61	397
135	62	396
136	62	395
137	63	394
138	63	393
139	63	392
140	64	391
141	64	389
142	65	391
143	65	390
144	66	390
145	66	389
146	67	389
147	67	389
148	68	392
149	69	392
150	69	392
151	70	392
152	70	392
153	71	395
154	72	394
155	72	393
156	73	392
157	73	391
158	73	391
159	74	390
160	74	388
161	74	387
162	75	387
163	75	386
164	76	385
165	76	385
166	77	384
167	77	383
168	77	382
169	78	381
170	78	380
171	78	380
172	79	379
173	79	379
174	80	378
175	80	377
176	81	376
177	81	376
178	81	375
179	82	375
180	82	374
181	83	374
182	83	373
183	84	372
184	84	372
185	84	371
186	85	372
187	86	371
188	86	371
189	87	370
190	87	370
191	87	369
192	88	369
193	88	368
194	89	367
195	89	368
196	90	367
197	90	366
198	90	366
199	91	365
200	91	365
201	92	364
202	92	363
203	93	363
204	93	362
205	93	361
206	94	361
207	94	360
208	95	359
209	95	359
210	95	358
211	96	358
212	96	357
213	97	357
214	97	356
215	98	356
216	98	355
217	99	355
218	99	355
219	100	354
220	100	353
221	100	353
222	101	352
223	101	351
224	101	351
225	102	350
226	102	349
227	103	349
228	103	348
229	103	348
230	104	347
231	104	346
232	105	346
233	105	345
234	105	344
235	106	344
236	106	343
237	107	342
238	107	342
239	107	341
240	108	341
241	108	340
242	109	339
243	109	339
244	112	346
245	113	347
246	113	346
247	114	346
248	114	345
249	115	345
250	115	344
251	115	344
252	116	343
253	116	342
254	117	341
255	117	341
256	117	340
257	118	340
258	118	340
259	119	339
260	119	339
261	120	338
262	120	337
263	121	337
264	121	336
265	121	336
266	122	336
267	123	336
268	124	337
269	129	350
270	129	349
271	130	348
272	130	348
273	131	347
274	131	347
275	132	346
276	132	346
277	133	345
278	133	345
279	133	344
280	134	344
281	134	343
282	135	342
283	135	342
284	136	341
285	136	340
286	136	340
287	137	339
288	137	339
289	138	338
290	138	337
291	139	337
292	139	336
293	139	336
294	140	335
295	140	335
296	141	335
297	142	335
298	143	336
299	144	337
300	145	337
301	145	336
302	146	336
303	146	335
304	146	334
305	147	334
306	147	333
307	148	332
308	148	332
309	148	331
310	149	330
311	149	329
312	150	329
313	150	328
314	150	327
315	151	327
316	151	326
317	151	325
318	152	325
319	152	324
320	153	323
321	153	323
322	153	322
323	154	321
324	154	321
325	155	321
326	155	320
327	156	320
328	156	319
329	157	318
330	157	318
331	158	318
332	159	318
333	159	318
334	160	317
335	160	316
336	160	316
337	161	315
338	161	314
339	161	314
340	162	313
341	162	312
342	162	312
343	163	311
344	163	311
345	164	310
346	164	309
347	165	309
348	165	308
349	165	307
350	166	307
351	166	306
352	166	305
353	167	305
354	167	304
355	168	304
356	168	303
357	169	303
358	169	302
359	169	302
360	170	301
361	170	300
362	171	300
363	171	299
364	171	298
365	172	298
366	172	298
367	173	297
368	174	298
369	175	298
370	175	298
371	176	297
372	176	297
373	177	296
374	177	296
375	177	295
376	178	294
377	178	294
378	179	293
379	179	293
380	180	292
381	180	292
382	180	291
383	181	290
384	181	290
385	182	289
386	182	289
387	182	288
388	183	287
389	183	287
390	184	286
391	184	286
392	185	286
393	185	285
394	186	285
395	186	285
396	189	287
397	189	286
398	190	286
399	190	285
400	190	285
401	191	284
402	191	284
403	192	283
404	192	282
405	192	282
406	193	281
407	193	281
408	194	280
409	194	279
410	194	279
411	195	278
412	195	278
413	196	277
414	196	276
415	196	276
416	197	275
417	197	275
418	198	274
419	198	274
420	198	273
421	199	273
422	199	272
423	200	272
424	201	272
425	202	272
426	203	272
427	204	272
428	204	272
429	204	271
430	205	271
431	206	271
432	206	270
433	207	270
434	207	269
435	207	268
436	208	268
437	208	267
438	209	267
439	209	266
440	209	266
441	210	265
442	210	264
443	211	264
444	211	263
445	212	263
446	212	262
447	212	262
448	213	261
449	213	260
450	213	260
451	214	259
452	218	263
453	218	263
454	219	262
455	219	261
456	219	261
457	220	260
458	220	260
459	221	259
460	221	259
461	222	258
462	222	258
463	223	257
464	223	257
465	224	256
466	224	256
467	224	255
468	225	254
469	225	254
470	225	253
471	226	253
472	226	252
473	227	252
474	227	251
475	227	250
476	228	250
477	228	249
478	229	249
479	229	248
480	231	249
481	232	249
482	233	249
483	233	249
484	236	250
485	236	250
486	236	249
487	237	249
488	237	248
489	238	247
490	238	247
491	238	246
492	239	246
493	239	245
494	240	244
495	240	244
496	240	243
497	241	243
498	241	242
499	242	242
500	242	241
501	242	241
502	243	240
503	243	239
504	244	239
505	244	238
506	245	238
507	245	237
508	245	237
509	246	236
510	247	236
511	248	236
512	249	236
513	249	236
514	250	235
515	250	235
516	251	234
517	251	234
518	252	233
519	252	233
520	252	232
521	253	231
522	253	231
523	254	230
524	254	230
525	254	229
526	255	229
527	255	228
528	256	228
529	256	227
530	256	226
531	257	226
532	257	225
533	258	225
534	258	224
535	258	223
536	259	223
537	259	222
538	260	222
539	260	221
540	260	221
541	261	220
542	262	221
543	263	220
544	263	220
545	264	220
546	265	219
